<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;230329;0;214.86;219.53;213.6;217.99;96549640
SBER;D;230330;0;217.34;218.45;216.12;216.87;40737550
SBER;D;230331;0;217.2;217.35;211.3;216.6;88023190
SBER;D;230403;0;218.45;219.44;214.8;216.09;54788980
SBER;D;230404;0;216.2;217.29;213.8;214.83;45747250
SBER;D;230405;0;214.69;216.3;211.4;216.15;46127960
SBER;D;230406;0;216.3;217.38;214.07;214.25;38993420
SBER;D;230407;0;214.5;216.39;213.65;216.27;29157060
SBER;D;230410;0;217.1;222.26;216.61;222.21;84958930
SBER;D;230411;0;222.9;223.33;217.62;218.6;98349200
SBER;D;230412;0;218.62;219.7;216.67;219.22;44633200
SBER;D;230413;0;219.41;220.89;218;219.85;32580550
SBER;D;230414;0;219.99;222.5;218.51;221.87;43248810
SBER;D;230417;0;222.97;228.2;222.91;228.1;78562510
SBER;D;230418;0;227.89;232.76;227.05;232.66;97459980
SBER;D;230419;0;232.67;237.37;231.1;232.95;115494020
SBER;D;230420;0;233.32;236.47;229.84;236.28;85046740
SBER;D;230421;0;237.4;238.85;233.52;235.17;115606560
SBER;D;230424;0;235.09;236.4;234.1;235.1;30405040
SBER;D;230425;0;235.16;235.82;234.21;235.3;32063750
SBER;D;230426;0;235.55;235.95;234.91;235.21;24351620
SBER;D;230427;0;235.51;240.74;235.13;240.38;68224840
SBER;D;230428;0;240.86;241.58;237.66;240.38;49494960
SBER;D;230502;0;242.2;245;237.4;242.62;83246880
SBER;D;230503;0;242.85;242.99;234;235.77;76740930
SBER;D;230504;0;236.51;239.74;236.05;238.89;53006840
SBER;D;230505;0;239.19;240.66;237.3;237.7;61314710
SBER;D;230508;0;238.65;239.86;237.36;238.27;47676110
SBER;D;230510;0;216.51;227.5;215.7;227.06;154134860
SBER;D;230511;0;228.57;235.38;223.94;229.32;197037380
SBER;D;230512;0;231.05;232.47;226.15;229.29;69831820
SBER;D;230515;0;230.54;231.75;228.52;231.7;48873370
SBER;D;230516;0;232.4;232.86;229.57;230.62;36429340
SBER;D;230517;0;229.86;230.97;228.75;230.55;31635370
SBER;D;230518;0;231.72;234.49;230.72;231.7;55909060
SBER;D;230519;0;230.98;232.3;229.81;231.27;31540330
SBER;D;230522;0;232.2;232.78;230;231;26351890
SBER;D;230523;0;231.24;237.29;230.21;236.43;62996030
SBER;D;230524;0;237.49;246.13;236.26;246.06;85850770
SBER;D;230525;0;246.11;247.4;242.65;243.76;70582820
SBER;D;230526;0;243.49;249.64;242.81;248.1;69113640
SBER;D;230529;0;249.77;252.59;248.85;251.18;67591330
SBER;D;230530;0;248.84;250.85;243.8;244.65;82871290
SBER;D;230531;0;244;247.18;240.27;246.17;72797140
SBER;D;230601;0;247;247;240.57;241.66;51897410
SBER;D;230602;0;242.01;245.5;240.77;243.95;46465000
SBER;D;230605;0;243.51;244.15;235.1;237.12;78650640
SBER;D;230606;0;236;242.1;232.54;240.91;100337100
SBER;D;230607;0;241.23;244.39;238.56;241.25;63082450
SBER;D;230608;0;241.3;242.78;239.55;241.77;29851820
SBER;D;230609;0;242.79;243;240.11;240.4;27458600
